Designator,Footprint,Mid X(mm),Mid Y(mm),Layer,Rotation,Comment
P10,PinSocket_1x08_P2.54mm_Vertical,123.5,109.5,Top,0,Female Socket 1x08
P11,PinSocket_1x02_P2.54mm_Vertical,126.04,109.5,Top,90.0,Female Socket 1x02
P12,PinSocket_1x08_P2.54mm_Vertical,136.2,109.5,Top,0,Female Socket 1x08
P13,PinSocket_1x08_P2.54mm_Vertical,56.341,83.365,Top,180.0,Female Socket 1x08
P14,PinSocket_1x02_P2.54mm_Vertical,53.801,83.365,Top,-90.0,Female Socket 1x02
P15,PinSocket_1x08_P2.54mm_Vertical,43.641,83.365,Top,180.0,Female Socket 1x08
P2,PinSocket_1x02_P2.54mm_Vertical,126.19,36.11,Top,90.0,Female Socket 1x02
P3,PinSocket_1x08_P2.54mm_Vertical,136.35,36.11,Top,0,Female Socket 1x08
P4,PinSocket_1x08_P2.54mm_Vertical,123.65,60.52,Top,0,Female Socket 1x08
P5,PinSocket_1x02_P2.54mm_Vertical,126.19,60.52,Top,90.0,Female Socket 1x02
P6,PinSocket_1x08_P2.54mm_Vertical,136.35,60.52,Top,0,Female Socket 1x08
P7,PinSocket_1x08_P2.54mm_Vertical,123.65,84.975,Top,0,Female Socket 1x08
P8,PinSocket_1x02_P2.54mm_Vertical,126.19,84.975,Top,90.0,Female Socket 1x02
P9,PinSocket_1x08_P2.54mm_Vertical,136.35,84.975,Top,0,Female Socket 1x08
Q1,SOT-23,98.017,28.3,Top,0,DMG2305UX
Q2,Q_SOT-23,35.532,48.468,Top,180.0,AO3400A
Q3,Q_SOT-23,35.5,59.5,Top,180.0,AO3400A
Q4,Q_SOT-23,57.0,48.469,Top,180.0,AO3400A
Q5,Q_SOT-23,56.75,59.4,Top,180.0,AO3400A
R1,R_0603,72.803,41.52,Top,-90.0,1kΩ
R10,R_0805,95.8,99.3,Top,0,1kΩ
R11,R_0603,38.225,31.75,Top,-90.0,10kΩ
R12,R_0603,53.186,30.988,Top,-90.0,10kΩ
R13,R_0603,127.489,40.098,Top,90.0,10kΩ
R14,R_0603,36.447,31.75,Top,-90.0,100Ω
R15,R_0603,51.408,30.988,Top,-90.0,100Ω
R16,R_0603,127.362,64.736,Top,90.0,10kΩ
R17,R_0603,42.532,49.498,Top,180.0,1kΩ
R18,R_0603,42.5,60.25,Top,180.0,1kΩ
R19,R_0603,38.579,48.468,Top,90.0,10kΩ
R2,R_0603,74.0,86.4,Top,0,10kΩ
R20,R_0603,38.5,59.5,Top,90.0,10kΩ
R21,R_1206,36.032,45.166,Top,180.0,180Ω
R22,R_1206,36.0,56.0,Top,180.0,180Ω
R23,R_0603,63.75,60.15,Top,180.0,1kΩ
R24,R_0603,64.0,49.219,Top,180.0,1kΩ
R25,R_0603,60.0,48.469,Top,90.0,10kΩ
R26,R_0603,59.75,59.4,Top,90.0,10kΩ
R27,R_1206,57.5,44.969,Top,180.0,180Ω
R28,R_1206,57.25,55.9,Top,180.0,180Ω
R29,R_0603,72.9,99.05,Top,180.0,10kΩ
R3,R_0603,73.1,88.35,Top,0,10kΩ
R30,R_0603,75.5,97.25,Top,180.0,10kΩ
