RefDes,X,Y,Rotation,Side,Component
R28,57.25,55.9,180.0,Top,180Ω R_1206
R29,72.9,99.05,180.0,Top,10kΩ R_0603
R3,73.1,88.35,0,Top,10kΩ R_0603
R30,75.5,97.25,180.0,Top,10kΩ R_0603
R31,78.0,96.5,90.0,Top,200kΩ R_0603
R32,83.674,103.217,90.0,Top,10kΩ R_0603
R33,33.9,97.3,-90.0,Top,10kΩ R_0603
R34,33.9,100.5,-90.0,Top,10kΩ R_0603
R35,35.5,97.3,-90.0,Top,10kΩ R_0603
R36,35.5,100.49,-90.0,Top,10kΩ R_0603
R37,37.1,97.3,-90.0,Top,10kΩ R_0603
R38,37.1,100.49,-90.0,Top,10kΩ R_0603
R39,38.7,97.3,-90.0,Top,10kΩ R_0603
R4,102.0,50.0,180.0,Top,10kΩ R_0603
R40,38.7,100.5,-90.0,Top,10kΩ R_0603
R41,40.3,97.3,-90.0,Top,10kΩ R_0603
R42,40.3,100.5,-90.0,Top,10kΩ R_0603
R43,33.98,111.0,-90.0,Top,220Ω R_0603
R44,36.52,111.0,-90.0,Top,220Ω R_0603
R45,39.06,111.0,-90.0,Top,220Ω R_0603
R46,41.6,111.0,-90.0,Top,220Ω R_0603
R47,46.682,111.0,-90.0,Top,220Ω R_0603
R48,49.222,111.0,-90.0,Top,220Ω R_0603
R49,51.762,111.0,-90.0,Top,220Ω R_0603
R5,97.05,37.05,90.0,Top,10kΩ R_0603
R50,54.302,111.0,-90.0,Top,220Ω R_0603
R51,61.932,111.0,-90.0,Top,220Ω R_0603
R52,64.472,111.0,-90.0,Top,220Ω R_0603
R53,67.012,111.0,-90.0,Top,220Ω R_0603
R54,69.552,111.0,-90.0,Top,220Ω R_0603
R55,74.632,111.0,-90.0,Top,220Ω R_0603
R56,77.172,111.0,-90.0,Top,220Ω R_0603
R57,79.712,111.0,-90.0,Top,220Ω R_0603
R58,82.252,111.0,-90.0,Top,220Ω R_0603
R59,41.9,97.3,-90.0,Top,10kΩ R_0603
R6,96.831,74.6,90.0,Top,1kΩ R_0603
R60,41.9,100.5,-90.0,Top,10kΩ R_0603
R61,113.2,40.9,0,Top,10kΩ R_0603
R62,117.8,40.9,0,Top,10kΩ R_0603
R63,113.2,43.4,0,Top,10kΩ R_0603
R64,117.8,43.4,0,Top,10kΩ R_0603
R65,127.362,89.247,90.0,Top,10kΩ R_0603
R66,127.362,113.631,90.0,Top,10kΩ R_0603
R67,112.3,62.9,0,Top,10kΩ R_0603
R68,116.9,62.9,0,Top,10kΩ R_0603
R69,112.3,65.6,0,Top,10kΩ R_0603
R7,143.2,129.1,0,Top,5.1kΩ R_0805
R70,116.9,65.6,0,Top,10kΩ R_0603
R71,50.25,80.25,0,Top,10kΩ R_0603
R72,97.593,33.85,0,Top,300Ω R_0603
R73,112.3,87.4,0,Top,10kΩ R_0603
R74,116.9,87.4,0,Top,10kΩ R_0603
R75,112.3,90.1,0,Top,10kΩ R_0603
R76,116.9,90.1,0,Top,10kΩ R_0603
R79,112.3,112.1,0,Top,10kΩ R_0603
R8,101.25,41.15,180.0,Top,1kΩ R_0805
R80,116.9,112.1,0,Top,10kΩ R_0603
R81,112.3,114.6,0,Top,10kΩ R_0603
R82,116.9,114.6,0,Top,10kΩ R_0603
R85,66.465,78.575,180.0,Top,10kΩ R_0603
R86,62.528,78.575,180.0,Top,10kΩ R_0603
R87,66.465,76.075,180.0,Top,10kΩ R_0603
R88,62.528,76.075,180.0,Top,10kΩ R_0603
R9,105.2,117.2,-90.0,Top,2.2kΩ R_0805
S1,102.25,52.75,180.0,Top,Tactile Button 160gf SMD
U1,75.8,51.68,-90.0,Top,KH-2.54FH-1X20P-H8.5 THT
U2,93.58,51.68,90.0,Top,KH-2.54FH-1X20P-H8.5 THT
U6,75.0,92.5,-90.0,Top,PCA9306 SMD
U7,57.8,100.0,0,Top,PCA9685PW TSSOP-28
Y1,65.64,98.3,90.0,Top,25MHz Crystal SMD
