wb,exposure,gain,neutrality,luminance_err,color_err,clip_penalty,total
3500,10,0,334.66,130.01,250.0,400.0,1449.33
3250,8,0,471.16,51.29,277.0,200.0,1470.62
3250,3,0,577.14,155.29,213.0,0.0,1522.57
3000,4,0,621.02,86.2,281.0,0.0,1609.24
3250,10,0,416.6,111.1,288.0,400.0,1632.3
3000,5,0,602.78,46.23,294.0,100.0,1645.79
3250,9,0,444.44,80.61,285.0,400.0,1654.49
3000,7,0,556.72,40.6,318.0,200.0,1672.04
3000,6,0,591.69,34.04,306.0,200.0,1723.42
3000,8,0,532.87,49.12,321.0,300.0,1735.87
3000,3,0,660.16,158.06,275.0,0.0,1753.39
3000,10,0,473.87,103.74,335.0,500.0,1886.49
3000,9,0,505.76,69.9,327.0,500.0,1908.43
