Designator,Mid X,Mid Y,Rotation,Layer
C1,21.082,28.15,0.0,top
FID1,2.5,23.25,0.0,top
FID2,67.5,37.5,0.0,top
FID3,67.5,12.5,0.0,top
J3,42.27,33.18,0.0,top
J4,42.21,17.13,0.0,top
J5,21.25,19.195,270.0,top
R1,25.05,16.65,180.0,top
