Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,1,100uF,C2836442
"J3, J4",IDC-Header_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,C429960
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03,C492411
R1,R_0603,1,0Ω,C21189
