Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
P10,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,123.5,109.5,0,Top
P11,Header-Female-2.54_1x2,PinSocket_1x02_P2.54mm_Vertical,126.04,109.5,90.0,Top
P12,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,136.2,109.5,0,Top
P13,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,56.341,83.365,180.0,Top
P14,Header-Female-2.54_1x2,PinSocket_1x02_P2.54mm_Vertical,53.801,83.365,-90.0,Top
P15,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,43.641,83.365,180.0,Top
P2,Header-Female-2.54_1x2,PinSocket_1x02_P2.54mm_Vertical,126.19,36.11,90.0,Top
P3,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,136.35,36.11,0,Top
P4,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,123.65,60.52,0,Top
P5,Header-Female-2.54_1x2,PinSocket_1x02_P2.54mm_Vertical,126.19,60.52,90.0,Top
P6,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,136.35,60.52,0,Top
P7,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,123.65,84.975,0,Top
P8,Header-Female-2.54_1x2,PinSocket_1x02_P2.54mm_Vertical,126.19,84.975,90.0,Top
P9,Header-Female-2.54_1x8,PinSocket_1x08_P2.54mm_Vertical,136.35,84.975,0,Top
Q1,DMG2305UX,SOT-23,98.017,28.3,0,Top
Q2,AO3400A,Q_SOT-23,35.532,48.468,180.0,Top
Q3,AO3400A,Q_SOT-23,35.5,59.5,180.0,Top
Q4,AO3400A,Q_SOT-23,57.0,48.469,180.0,Top
Q5,AO3400A,Q_SOT-23,56.75,59.4,180.0,Top
R1,1kΩ,R_0603,72.803,41.52,-90.0,Top
R10,1kΩ,R_0805,95.8,99.3,0,Top
R11,10kΩ,R_0603,38.225,31.75,-90.0,Top
R12,10kΩ,R_0603,53.186,30.988,-90.0,Top
R13,10kΩ,R_0603,127.489,40.098,90.0,Top
R14,100Ω,R_0603,36.447,31.75,-90.0,Top
R15,100Ω,R_0603,51.408,30.988,-90.0,Top
R16,10kΩ,R_0603,127.362,64.736,90.0,Top
R17,1kΩ,R_0603,42.532,49.498,180.0,Top
R18,1kΩ,R_0603,42.5,60.25,180.0,Top
R19,10kΩ,R_0603,38.579,48.468,90.0,Top
R2,10kΩ,R_0603,74.0,86.4,0,Top
R20,10kΩ,R_0603,38.5,59.5,90.0,Top
R21,180Ω,R_1206,36.032,45.166,180.0,Top
R22,180Ω,R_1206,36.0,56.0,180.0,Top
R23,1kΩ,R_0603,63.75,60.15,180.0,Top
R24,1kΩ,R_0603,64.0,49.219,180.0,Top
R25,10kΩ,R_0603,60.0,48.469,90.0,Top
R26,10kΩ,R_0603,59.75,59.4,90.0,Top
R27,180Ω,R_1206,57.5,44.969,180.0,Top
R28,180Ω,R_1206,57.25,55.9,180.0,Top
R29,10kΩ,R_0603,72.9,99.05,180.0,Top
R3,10kΩ,R_0603,73.1,88.35,0,Top
R30,10kΩ,R_0603,75.5,97.25,180.0,Top
R31,200kΩ,R_0603,78.0,96.5,90.0,Top
R32,10kΩ,R_0603,83.674,103.217,90.0,Top
R33,10kΩ,R_0603,33.9,97.3,-90.0,Top
R34,10kΩ,R_0603,33.9,100.5,-90.0,Top
R35,10kΩ,R_0603,35.5,97.3,-90.0,Top
R36,10kΩ,R_0603,35.5,100.49,-90.0,Top
R37,10kΩ,R_0603,37.1,97.3,-90.0,Top
R38,10kΩ,R_0603,37.1,100.49,-90.0,Top
