Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Mount,Qty,Description
PCA9306,U6,Texas_S-PDSO-G8_3x3mm_P0.65mm,C123752,,,SMT,1,Dual bidirectional I2C Bus and SMBus voltage level translator
PCA9685PW,U7,TSSOP-28_4.4x9.7mm_P0.65mm,C92206,,,SMT,1,16-channel 12-bit PWM Fm+ I2C-bus LED controller
PM254V-11-06-H85,J16 J18,HDR-TH_6P-P2.54-V-F,C2832269,,,THT,2,
R-78B12-2.0,U4,Converter_DCDC_RECOM_R-78B-2.0_THT,,,,THT,1,"2A Step-Down DC/DC-Regulator, 12V (DNP - separat beschaffen)"
R-78B6.5-1.5,U5,Converter_DCDC_RECOM_R-78B-2.0_THT,,,,THT,1,"1.5A Step-Down DC/DC-Regulator, 6.5V (DNP - separat beschaffen)"
R-78C5.0-1.0,U3,Converter_DCDC_RECOM_R-78E-0.5_THT,,,,THT,1,"1A Step-Down DC/DC-Regulator, 5V (DNP - separat beschaffen)"
SK84B,D2,D_SMB,C41410774,SK84B,hongjiacheng,SMT,1,8A 40V Schottky Diode
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,TS-1088-AR02016,XUNPU,SMT,1,SPST SMD Tactile Switch
Yellow,D3 D4 D5 D6 D7,D_0603,C89811,NCD0603Y2,Foshan NationStar Optoelectronics,SMT,5,Yellow LED 0603
~,JP1 JP2 JP3 JP4,Jumper_2_NO,,,,SMT,4,"Solder Jumper, 2-pole, open"
